lineage,target,feature,n_folds_selected,mean_importance,mean_rank,rank_std,selection_freq,kind,gene
Lymphoid,wgd,TP53 (7157)_damaging,5,0.15042429806058982,1.6,0.5477225575051662,1.0,damaging,TP53
Lymphoid,wgd,TP53 (7157)_hotspot,5,0.10135103785049338,3.0,2.0,1.0,hotspot,TP53
Lymphoid,wgd,NRAS (4893)_hotspot,5,0.08999401281438747,3.4,2.8809720581775866,1.0,hotspot,NRAS
Lymphoid,wgd,ID3 (3399)_damaging,5,0.0878064303577358,4.6,1.6733200530681511,1.0,damaging,ID3
Lymphoid,wgd,KMT2D (8085)_damaging,5,0.07135977701060942,5.0,1.0,1.0,damaging,KMT2D
Lymphoid,wgd,GNA13 (10672)_damaging,5,0.06966428055565219,7.2,5.630275304103699,1.0,damaging,GNA13
Lymphoid,wgd,ARID1A (8289)_damaging,5,0.03265868133039791,9.8,4.324349662087931,1.0,damaging,ARID1A
Lymphoid,wgd,CREBBP (1387)_damaging,5,0.03943037653628219,10.4,3.0495901363953815,1.0,damaging,CREBBP
Lymphoid,wgd,KRAS (3845)_hotspot,5,0.03072752724127798,10.8,5.263078946776307,1.0,hotspot,KRAS
Lymphoid,wgd,EP300 (2033)_damaging,5,0.03909639743394029,11.2,4.024922359499621,1.0,damaging,EP300
Lymphoid,wgd,TTN (7273)_damaging,5,0.0275495940721473,11.8,3.1144823004794877,1.0,damaging,TTN
Lymphoid,wgd,TYRO3 (7301)_damaging,5,0.02570616274991066,12.8,3.96232255123179,1.0,damaging,TYRO3
Lymphoid,wgd,KMT2B (9757)_damaging,5,0.030433438274235718,13.0,4.06201920231798,1.0,damaging,KMT2B
Lymphoid,wgd,SLK (9748)_damaging,5,0.02142589691962898,14.6,3.2093613071762426,1.0,damaging,SLK
Lymphoid,wgd,DNAH5 (1767)_damaging,4,0.02509397193040081,14.25,4.272001872658765,0.8,damaging,DNAH5
Lymphoid,wgd,DDX3X (1654)_damaging,3,0.03720501246080914,12.0,7.0,0.6,damaging,DDX3X
Lymphoid,wgd,PTEN (5728)_damaging,3,0.02618912930825512,15.6,7.797435475847171,0.6,damaging,PTEN
